FISCAL_YR,FISCAL_MTH,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESC,TRANS_DT,AMT
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOUBLETREE HOTELS WASHING,LODGING,6/3/2016,-5.5
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2016,18.31
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2016,21.61
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2016,22.39
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NW ORLE F/B,EATING PLACES RESTAURANTS,6/26/2016,5.44
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/26/2016,17.17
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TAPAS ON MAIN,EATING PLACES RESTAURANTS,6/26/2016,32.67
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TAPAS ON MAIN,EATING PLACES RESTAURANTS,6/26/2016,32.89
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363267867,AIRLINE,6/26/2016,25
2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MTC INC,EATING PLACES RESTAURANTS,6/27/2016,12.33
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,6/27/2016,179
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,6/27/2016,179
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 1632,TRAVEL,6/27/2016,30.3
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BRENNAN'S OFFICE INTER,OFFICE AND COMMERCIAL FURNITURE,6/27/2016,240
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,C6 STARBUCKS B21631510,FAST FOOD RESTAURANTS,6/27/2016,10.21
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFE BEIGNET I,EATING PLACES RESTAURANTS,6/27/2016,7.99
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GLOBE,EATING PLACES RESTAURANTS,6/27/2016,12
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,6/27/2016,35
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,6/27/2016,696.6
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HISTORIC HOTEL BETHLEH,LODGING,6/27/2016,698.7
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MAMA MELROSE'S RIST,EATING PLACES RESTAURANTS,6/27/2016,23.65
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,6/27/2016,36
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/27/2016,15.57
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7120127157000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,6/27/2016,369.92
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SUBWAY 00334268,FAST FOOD RESTAURANTS,6/27/2016,12.02
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363399881,AIRLINE,6/27/2016,25
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VZWRLSS*MY VZ VB P,TELECOM INCL PREPAID-RECURRING PHONE SVCS,6/27/2016,1035.32
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WHOLESALE JANITOR,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,6/27/2016,1999
2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,6/27/2016,10.28
2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,6/27/2016,20.85
2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/27/2016,12.88
2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,TOWER AMERICAS REST,EATING PLACES RESTAURANTS,6/27/2016,30.41
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMERICAN AI 0010269330166,AIRLINE,6/28/2016,25
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CALIFORNIA PIZZA 049,EATING PLACES RESTAURANTS,6/28/2016,21.88
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #00238,FAST FOOD RESTAURANTS,6/28/2016,6.79
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,COLUMBIA HARBOR HOU,FAST FOOD RESTAURANTS,6/28/2016,17.23
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2016,145.28
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2016,4.36
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2016,466.86
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2016,510.9
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT REGENCY NEW ORLEAN,LODGING,6/28/2016,9.95
2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MAX LAGERS,EATING PLACES RESTAURANTS,6/28/2016,12.8
